states_name,period_of_kind_loan,amount_outstanding_as_of_survey_date,source_of_kind_loan_doctor lawyers and other professionals,source_of_kind_loan_input supplier,source_of_kind_loan_other,source_of_kind_loan_relatives & friends
Punjab,,1500,0,0,0,0
Punjab,2.0,2000,0,0,1,0
Punjab,,2000,0,0,0,0
Punjab,2.0,1500,0,0,1,0
Punjab,,1500,0,0,0,0
Punjab,2.0,800,0,0,1,0
Punjab,,800,0,0,0,0
Punjab,2.0,5000,0,1,0,0
Punjab,,5000,0,0,0,0
Punjab,3.0,60000,0,1,0,0
Punjab,,60000,0,0,0,0
Punjab,2.0,10000,0,1,0,0
Punjab,,10000,0,0,0,0
Punjab,2.0,2000,0,1,0,0
Punjab,,2000,0,0,0,0
Punjab,2.0,18000,0,1,0,0
Punjab,2.0,5000,0,1,0,0
Punjab,,23000,0,0,0,0
Punjab,2.0,42500,0,1,0,0
Punjab,,42500,0,0,0,0
Punjab,2.0,6500,0,1,0,0
Punjab,,6500,0,0,0,0
Punjab,2.0,10000,1,0,0,0
Punjab,,10000,0,0,0,0
Punjab,3.0,50000,0,0,1,0
Punjab,,50000,0,0,0,0
Punjab,2.0,35000,0,1,0,0
Punjab,,35000,0,0,0,0
Punjab,1.0,1000,0,1,0,0
Punjab,,1000,0,0,0,0
Punjab,4.0,118000,0,0,1,0
Punjab,,118000,0,0,0,0
Punjab,1.0,2000,0,0,1,0
Punjab,,2000,0,0,0,0
Punjab,4.0,10000,0,1,0,0
Punjab,,10000,0,0,0,0
Punjab,4.0,2000,1,0,0,0
Punjab,,2000,0,0,0,0
Punjab,5.0,9800,0,0,1,0
Punjab,,9800,0,0,0,0
Punjab,3.0,300,0,1,0,0
Punjab,3.0,200,0,0,0,1
Punjab,,500,0,0,0,0
Punjab,5.0,50000,0,1,0,0
Punjab,,50000,0,0,0,0
Punjab,5.0,2000,0,1,0,0
Punjab,,2000,0,0,0,0
Punjab,3.0,2500,1,0,0,0
Punjab,,2500,0,0,0,0
Punjab,4.0,8150,0,1,0,0
Punjab,4.0,8150,0,1,0,0
Punjab,,16300,0,0,0,0
Punjab,2.0,1500,0,0,1,0
Punjab,,1500,0,0,0,0
